نمونه,پارامتر,کمینه,بیشینه,میانگین,میانه,انحراف معیار,ضریب تغییرات (%),واحد
نمونه: اقلیم (ssp585),temp_air,1.375,33.875,18.758,19.081,9.093,48.477,°C
نمونه: اقلیم (ssp585),rainfall,0.0,26.475,0.664,0.025,1.778,267.927,mm
نمونه: خروجی (ssp585),bod_out,2.668,658.589,13.368,10.732,19.174,143.429,mg/L
نمونه: خروجی (ssp585),cod_out,22.059,134.69,49.598,50.742,14.375,28.984,mg/L
نمونه: خروجی (ssp585),tss_out,-0.198,164.668,5.363,4.328,7.593,141.597,mg/L
نمونه: خروجی (ssp585),ph_out,-22.278,17.259,9.176,10.489,5.06,55.14,-
نمونه: خروجی (ssp585),temp_effluent_out,20.959,67.026,27.802,27.742,3.536,12.72,°C
