نمونه,پارامتر,کمینه,بیشینه,میانگین,میانه,انحراف معیار,ضریب تغییرات (%),واحد
نمونه: اقلیم (ssp245),temp_air,0.962,33.55,18.382,18.662,9.141,49.73,°C
نمونه: اقلیم (ssp245),rainfall,0.0,27.125,0.723,0.025,1.906,263.782,mm
نمونه: خروجی (ssp245),bod_out,2.726,568.209,13.124,10.665,17.237,131.347,mg/L
نمونه: خروجی (ssp245),cod_out,18.754,150.791,49.416,50.765,14.344,29.028,mg/L
نمونه: خروجی (ssp245),tss_out,-0.149,153.029,5.54,4.416,8.049,145.293,mg/L
نمونه: خروجی (ssp245),ph_out,-21.946,17.588,9.285,10.515,4.929,53.09,-
نمونه: خروجی (ssp245),temp_effluent_out,20.966,66.099,27.733,27.681,3.546,12.785,°C
