نمونه,پارامتر,کمینه,بیشینه,میانگین,میانه,انحراف معیار,ضریب تغییرات (%),واحد
نمونه: اقلیم (ssp126),temp_air,1.162,33.288,18.603,18.95,9.121,49.032,°C
نمونه: اقلیم (ssp126),rainfall,0.0,25.95,0.673,0.025,1.794,266.548,mm
نمونه: خروجی (ssp126),bod_out,2.783,654.244,13.36,10.718,19.545,146.298,mg/L
نمونه: خروجی (ssp126),cod_out,21.919,156.61,49.52,50.677,14.36,28.998,mg/L
نمونه: خروجی (ssp126),tss_out,-0.173,164.206,5.401,4.379,7.587,140.473,mg/L
نمونه: خروجی (ssp126),ph_out,-22.843,17.302,9.211,10.491,5.016,54.46,-
نمونه: خروجی (ssp126),temp_effluent_out,20.954,68.836,27.78,27.715,3.582,12.892,°C
